variable,coef,std_err,z,p_value,ci_low,ci_high,model,nobs,r2,r2_adj
C(year_month)[T.2019-11],0.23891365159016886,0.319139560412895,0.7486181007489896,0.45408741912088535,-0.38658839286105007,0.8644156960413878,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2019-12],0.005662183963591083,0.3299017354895572,0.0171632439434994,0.9863063849513649,-0.6409333360332005,0.6522577039603826,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-01],0.009789668659825335,0.3352834335903831,0.029198187798880053,0.9767065265458809,-0.6473537857902525,0.6669331231099032,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-02],-0.12960301410411024,0.31752594661737854,-0.4081651137010323,0.683152458512323,-0.75194243363116,0.4927364054229395,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-03],-0.10197095244832965,0.3352267143925606,-0.3041850427496616,0.7609869194241226,-0.7590032393134434,0.5550613344167841,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-04],-0.10899658415021474,0.32549728555064794,-0.33486173000129266,0.7377293920823708,-0.7469595408950345,0.528966372594605,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-05],-0.1428520993242457,0.31577374748524584,-0.45238750992408033,0.6509898432620709,-0.761757271658573,0.4760530730100816,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-06],-0.14060396229229255,0.32121234918197555,-0.43772900590642166,0.6615827403171752,-0.7701685980784685,0.4889606734938834,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-07],-0.06620568971717944,0.34254060224727806,-0.19327837133125006,0.8467409641311059,-0.7375729333645044,0.6051615539301455,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-08],0.06594704273883956,0.32061461237491085,0.20568944830787797,0.8370335013562828,-0.5624460504332556,0.6943401359109347,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-09],0.03861075484147247,0.34579717362586543,0.11165723084610085,0.9110951920362853,-0.6391392514209676,0.7163607611039126,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-10],0.25018430806101755,0.3088524288331018,0.8100448133312642,0.4179144202955085,-0.35515532898958213,0.8555239451116172,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-11],0.051965007961337184,0.30986773771649856,0.16770060782797772,0.8668188179852552,-0.5553645979339037,0.6592946138565781,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2020-12],0.09279390210393146,0.3136397436286203,0.2958614269682875,0.7673359097676304,-0.5219286995285402,0.7075165037364031,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-01],-0.13215311457400136,0.33607827416853486,-0.3932212366328978,0.6941560859041604,-0.7908544279307077,0.526548198782705,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-02],-0.40521618853299657,0.3735616724621431,-1.0847370552289766,0.27803813098333885,-1.1373836125633452,0.32695123549735206,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-03],0.08572766853595715,0.317932610050602,0.2696410051246796,0.7874364508317465,-0.5374087966740401,0.7088641337459544,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-04],0.32359376599606193,0.3060504604052273,1.0573216115002941,0.29036483332365837,-0.27625411385008547,0.9234416458422093,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-05],0.29580451511157957,0.3166143393548133,0.9342739046954116,0.35016262158306466,-0.3247481870127972,0.9163572172359563,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-06],0.44856138490657393,0.31472613236460983,1.42524353327901,0.15408681638178537,-0.1682904995216472,1.065413269334795,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-07],0.4327572830312376,0.30712674616663116,1.4090511114145878,0.15882005536521426,-0.16920007814433458,1.0347146442068098,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-08],0.3343723356150141,0.3349749167423037,0.9982011156741234,0.31818184556339957,-0.3221664369242042,0.9909111081542324,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-09],0.2648022468601958,0.3437698109183222,0.7702894159112517,0.4411282333329931,-0.4089742015118599,0.9385786952322516,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-10],0.4623664342245881,0.3209980200055445,1.4404027607914895,0.14975348305406247,-0.16677812409494686,1.091510992544123,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-11],0.530768318540705,0.3256348647145433,1.6299492961418152,0.10311221366629468,-0.1074642884103727,1.1690009254917828,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2021-12],0.3319982214051267,0.32747440053246923,1.0138142733151103,0.3106713832296727,-0.30983980949735734,0.9738362523076107,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
