country,port_name,wpi_id,lat,lon,year_month,n_ntl_images,ntl_sum,ntl_mean,ntl_max,ntl_std,lit_area_ratio
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-05,29,2132.5208097852897,10.121971679235516,44.13073921203613,10.513766226679483,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-06,27,2019.2333434789791,9.584254757410834,45.95808410644531,10.001970883239798,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-07,21,2156.4125048380283,10.235373180211772,42.9876766204834,9.538457246184556,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-08,31,2390.806653442102,11.347920791968876,46.101749420166016,10.558584895129636,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-09,29,2359.106948658298,11.197458713198309,48.38987350463867,10.898581986326606,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-10,31,2162.3986034580307,10.263786089676826,40.702117919921875,10.179945004005333,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-11,27,2466.4977285303335,11.707187118889788,44.270484924316406,10.384708552969148,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-12,31,1754.6860803057161,8.328585929527913,24.65813636779785,5.806803314353513,0.8529649916646821
Russia,Vyborg,28300.0,60.716667,28.75,2016-01,31,17034.688121984986,58.15054178187647,265.725830078125,61.259360091198666,0.8666898712147579
Russia,Vyborg,28300.0,60.716667,28.75,2016-02,29,17340.87212558377,59.39851423230388,289.3891906738281,62.03394533218426,0.862582184208995
Russia,Vyborg,28300.0,60.716667,28.75,2016-03,31,9906.651615420109,33.81788704059074,150.65684509277344,36.797270428834054,0.846153846153846
Russia,Vyborg,28300.0,60.716667,28.75,2016-04,30,5514.422423916821,18.824333575619672,99.01117706298828,21.31409287308945,0.8592876203735931
Russia,Vyborg,28300.0,60.716667,28.75,2016-05,31,8588.766339301123,29.860732381509123,122.57299423217773,33.204925039560464,0.8663477439168437
Russia,Vyborg,28300.0,60.716667,28.75,2016-06,30,0.0,,,,
Russia,Vyborg,28300.0,60.716667,28.75,2016-07,31,0.0,,,,
Russia,Vyborg,28300.0,60.716667,28.75,2016-08,31,5065.685759922571,17.292501590097135,83.80445861816406,19.66753157108287,0.8602854159415243
Russia,Vyborg,28300.0,60.716667,28.75,2016-09,30,5581.884720637694,19.05462655639374,96.56355285644531,21.919122210872647,0.8359902540898014
Russia,Vyborg,28300.0,60.716667,28.75,2016-10,31,6119.98522633542,20.891515832871917,103.03887939453125,24.080327765808835,0.8637312913331011
