country,port_name,wpi_id,lat,lon,year_month,n_ntl_images,ntl_sum,ntl_mean,ntl_max,ntl_std,lit_area_ratio
United States,Convent,8895.0,30.016667,-90.833333,2019-08,31,1624.7423694919135,9.81729074973788,45.71603775024414,8.130758627398714,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-09,30,1523.6704314063577,9.206576939685828,49.008934020996094,8.553707475511448,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-10,31,1547.3335503697394,9.349558204452007,43.68766784667969,8.07116984502686,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-11,30,1575.8971320776375,9.52214986682616,45.382781982421875,8.60174980336508,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-12,31,1397.6475747208967,8.445100505990919,43.338539123535156,7.319003883846815,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-01,31,1261.5874911190247,7.622975456977189,36.592140197753906,7.120047864652569,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-02,29,1337.6307153037956,8.082456575576227,48.74209976196289,7.631472185009442,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-03,31,1554.673910566405,9.393911359519297,52.453521728515625,8.873642268296226,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-04,30,1516.495003137402,9.163220363964683,54.54276466369629,8.336842000971586,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-05,31,1518.1100918651805,9.172979323861927,48.663291931152344,8.908163573193578,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-06,30,1611.9391288434763,9.739928862496718,59.81550216674805,9.50976417810018,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-07,31,1439.1145522007757,8.695659229685747,46.96198272705078,7.402381645076527,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-08,31,1643.097884322849,9.92820151894049,48.614219665527344,8.773535977393989,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-09,30,1490.7474692209094,9.00764429769518,46.393367767333984,8.847746839417825,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-10,31,1643.3210145368298,9.929549753729484,55.65020561218262,9.246522314800526,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-11,30,1488.839984746774,8.996118575196139,54.2286434173584,8.67610735294598,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2020-12,31,1459.0824000154053,8.816312307566665,50.624473571777344,8.888693538365516,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-01,31,1508.2793224815064,9.113578200862143,43.27299690246582,8.878541905586419,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-02,28,1458.9727885150444,8.815649994581687,47.194658279418945,8.809316857895974,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-03,31,1441.38559046002,8.709381677818708,46.28411865234375,8.250444706190217,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-04,30,1399.0063807372956,8.453310911521028,46.741241455078125,8.046655881640973,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-05,31,1769.1129429812522,10.689630834088891,54.84126663208008,10.020005623024936,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-06,30,1528.2138121050948,9.23402971628831,51.51580810546875,9.05507439689855,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-07,31,1601.9560693003389,9.679607546362412,45.1358528137207,8.872072606266915,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-08,31,1581.2452452379111,9.554465132829426,43.63122749328613,8.96045541393724,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-09,30,983.1470125592225,5.940535714008857,30.0440616607666,5.549195634155292,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-10,31,1557.3872216212985,9.410306182489721,48.4644660949707,9.15883404239045,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-11,30,1438.9822033484777,8.694859529260743,50.32442855834961,8.824409959037252,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2021-12,31,1701.093138326617,10.278630166183769,52.18597602844238,8.867397371771332,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-01,31,1632.4850130071823,9.864074648519775,46.60349655151367,9.647415706163947,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-02,28,1696.5253488437802,10.251029902733615,59.108394622802734,9.890506767920595,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-03,31,1522.2021836659485,9.197705247021869,55.73517036437988,8.65328533859862,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-04,30,1601.8617070796447,9.679037375131735,51.35412406921387,7.987552277239993,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-05,31,1559.6295678101335,9.423855262584334,41.477195739746094,7.687999227881695,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-06,30,1535.141020051872,9.275886453562093,51.06228828430176,8.250351619030255,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-07,26,1627.808491585535,9.835817386718912,55.99638366699219,9.138346787004668,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-08,21,1402.3162005387644,8.473310059650846,39.6530179977417,7.658276553576629,0.8983408748114629
United States,Convent,8895.0,30.016667,-90.833333,2022-09,30,1393.203846455322,8.418249866027846,49.126102447509766,8.061948796014699,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-10,31,1515.3645878794146,9.156389979367109,42.35110092163086,8.117285221131878,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-11,30,1587.7353052772726,9.593680461724672,49.481689453125,8.571512215759942,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2022-12,31,1360.3243805153693,8.219580044344326,64.384033203125,7.482552352601927,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-01,31,1265.1447216029262,7.6444695514133505,36.276878356933594,6.390943597892464,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-02,28,1482.7020843625069,8.959031124412096,45.582794189453125,6.701244987470029,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-03,31,1564.2817548139426,9.451965486885822,43.827537536621094,7.9092477191820345,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-04,30,1420.6681117380365,8.584199054386033,35.53957939147949,6.503530203568144,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-05,31,1565.0528793194717,9.456624904660096,33.34596824645996,6.839848952547475,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-06,30,1629.2380316005028,9.844455193074458,63.23765182495117,8.267800571270774,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-07,31,1544.0041677107997,9.329440850344865,63.054168701171875,8.36281399896038,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-08,31,1468.9018134054018,8.875644813477502,54.42826271057129,7.623130632397226,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-09,30,1469.2816080219604,8.877939672186152,42.03709602355957,7.461074359565093,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-10,31,1638.2991091286433,9.89920555489797,71.06272888183594,9.215109001870875,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-11,30,1217.413349190997,7.356059050369752,45.761295318603516,6.602926961144216,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2023-12,31,1594.3959679954198,9.633926634728972,77.05057525634766,9.350948019602674,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-01,31,1422.0058303793269,8.592282042242747,53.16843032836914,7.73810615729985,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-02,29,1485.710338381225,8.977208101208769,49.45336723327637,7.598893898911071,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-03,31,1657.8102319747795,10.017098932599612,82.59074401855469,9.862870763530404,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-04,29,1402.9138593051944,8.476921333653017,45.43744087219238,7.463536651110552,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-05,29,1616.0656966730658,9.764863102498266,47.172813415527344,7.475404117914336,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-06,27,1316.1118972969998,7.952431965564073,43.28949546813965,6.748365316881091,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-07,21,1514.7361178068556,9.152592532125214,34.12565231323242,7.592342171615415,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-08,31,1528.0878221869466,9.233268438881368,72.26501083374023,8.077600429513325,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-09,28,1228.265560472246,7.42163210085832,56.94572830200195,7.059038300394833,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-10,31,1467.218655143766,8.865474552430225,65.93878936767578,8.80922808675003,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-11,27,1405.5084947025073,8.49259907466801,72.51541137695312,8.298556554881895,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2024-12,31,1506.7141128152025,9.104120628592879,86.93099975585938,9.59229132187842,0.9093298858004739
United States,Port St Joe,8740.0,29.816667,-85.31666699999998,2016-01,31,528.9730085778616,3.2036128057797093,39.930965423583984,5.521456260464976,0.410316742081448
United States,Port St Joe,8740.0,29.816667,-85.31666699999998,2016-02,29,571.3564172190418,3.4602989286511243,39.22075271606445,5.823307893263525,0.38236299648064365
United States,Port St Joe,8740.0,29.816667,-85.31666699999998,2016-03,31,536.3607528377541,3.248355111593095,35.59455108642578,5.264569551320882,0.39432880844645557
