PORT,PORT_NAME,year_month,import_ves_val,import_ves_wgt,export_ves_val,export_ves_wgt,total_ves_val,total_ves_wgt
0101,"PORTLAND, ME",2018-02,152222407.0,252495363.0,14180237.0,4169014.0,166402644.0,256664377.0
0101,"PORTLAND, ME",2018-03,151872567.0,319129551.0,18186420.0,4599445.0,170058987.0,323728996.0
0101,"PORTLAND, ME",2018-04,162327774.0,227797809.0,17680355.0,4004196.0,180008129.0,231802005.0
0101,"PORTLAND, ME",2018-05,189712352.0,296575935.0,14122166.0,2178737.0,203834518.0,298754672.0
0101,"PORTLAND, ME",2018-06,188980509.0,289973926.0,23942992.0,4457671.0,212923501.0,294431597.0
0101,"PORTLAND, ME",2018-07,170036893.0,243077358.0,25598603.0,3448424.0,195635496.0,246525782.0
0101,"PORTLAND, ME",2018-08,179895785.0,263629718.0,13168766.0,2433747.0,193064551.0,266063465.0
0101,"PORTLAND, ME",2018-09,188995376.0,299611738.0,27267040.0,4289995.0,216262416.0,303901733.0
0101,"PORTLAND, ME",2018-10,134245057.0,155154968.0,21527363.0,3180750.0,155772420.0,158335718.0
0101,"PORTLAND, ME",2018-11,198305990.0,281321483.0,17479336.0,3201467.0,215785326.0,284522950.0
0101,"PORTLAND, ME",2018-12,171666550.0,207408301.0,20044818.0,3673539.0,191711368.0,211081840.0
0101,"PORTLAND, ME",2019-01,126914367.0,286822535.0,19942261.0,4612666.0,146856628.0,291435201.0
0101,"PORTLAND, ME",2019-02,154433887.0,316065369.0,24826247.0,3295535.0,179260134.0,319360904.0
0101,"PORTLAND, ME",2019-03,181878906.0,353214081.0,18190984.0,3611952.0,200069890.0,356826033.0
0101,"PORTLAND, ME",2019-04,186603482.0,233286670.0,25491195.0,4604099.0,212094677.0,237890769.0
0101,"PORTLAND, ME",2019-05,170441193.0,236006109.0,21902290.0,5389298.0,192343483.0,241395407.0
0101,"PORTLAND, ME",2019-06,174837071.0,291012866.0,26075465.0,4009717.0,200912536.0,295022583.0
0101,"PORTLAND, ME",2019-07,203834664.0,296474450.0,15549293.0,2587881.0,219383957.0,299062331.0
0101,"PORTLAND, ME",2019-08,165639020.0,275248623.0,24346747.0,4572562.0,189985767.0,279821185.0
0101,"PORTLAND, ME",2019-09,173379611.0,249597965.0,26798957.0,5798920.0,200178568.0,255396885.0
0101,"PORTLAND, ME",2019-10,221492847.0,326884238.0,20876682.0,4865681.0,242369529.0,331749919.0
0101,"PORTLAND, ME",2019-11,223509122.0,396108553.0,21040562.0,3480368.0,244549684.0,399588921.0
0101,"PORTLAND, ME",2019-12,208401282.0,320961945.0,18371441.0,3057653.0,226772723.0,324019598.0
0101,"PORTLAND, ME",2020-01,202517613.0,385239583.0,21193242.0,3356261.0,223710855.0,388595844.0
0101,"PORTLAND, ME",2020-02,164615887.0,293528042.0,22748452.0,4242083.0,187364339.0,297770125.0
0101,"PORTLAND, ME",2020-03,102300537.0,175326347.0,24216317.0,4614057.0,126516854.0,179940404.0
0101,"PORTLAND, ME",2020-04,89986319.0,237909402.0,117115619.0,2355612.0,207101938.0,240265014.0
0101,"PORTLAND, ME",2020-05,112757132.0,277193647.0,23522357.0,2967550.0,136279489.0,280161197.0
0101,"PORTLAND, ME",2020-06,132208975.0,294973584.0,20584273.0,2807876.0,152793248.0,297781460.0
0101,"PORTLAND, ME",2020-07,154531632.0,292636836.0,24656160.0,4204719.0,179187792.0,296841555.0
0101,"PORTLAND, ME",2020-08,139109964.0,249229750.0,16324048.0,2724496.0,155434012.0,251954246.0
0101,"PORTLAND, ME",2020-09,146936552.0,253789735.0,25188328.0,3157895.0,172124880.0,256947630.0
0101,"PORTLAND, ME",2020-10,155609499.0,345212490.0,24682789.0,4202958.0,180292288.0,349415448.0
0101,"PORTLAND, ME",2020-11,129266859.0,310613454.0,14202165.0,2730112.0,143469024.0,313343566.0
0101,"PORTLAND, ME",2020-12,171630778.0,339234027.0,29892255.0,3140845.0,201523033.0,342374872.0
0101,"PORTLAND, ME",2021-01,178921658.0,336772269.0,52712699.0,4548565.0,231634357.0,341320834.0
0101,"PORTLAND, ME",2021-02,143970759.0,233659802.0,29209020.0,6665550.0,173179779.0,240325352.0
0101,"PORTLAND, ME",2021-03,222969156.0,309580689.0,67312695.0,6101754.0,290281851.0,315682443.0
0101,"PORTLAND, ME",2021-04,208881603.0,320446251.0,74389504.0,7574384.0,283271107.0,328020635.0
0101,"PORTLAND, ME",2021-05,208247718.0,270348840.0,45383457.0,5519430.0,253631175.0,275868270.0
0101,"PORTLAND, ME",2021-06,234567864.0,247924990.0,72800925.0,6784156.0,307368789.0,254709146.0
0101,"PORTLAND, ME",2021-07,233771615.0,327456422.0,58227014.0,14165658.0,291998629.0,341622080.0
0101,"PORTLAND, ME",2021-08,269093163.0,328383099.0,65507546.0,6231327.0,334600709.0,334614426.0
0101,"PORTLAND, ME",2021-09,233449825.0,267485365.0,55494497.0,6612271.0,288944322.0,274097636.0
0101,"PORTLAND, ME",2021-10,281015282.0,290996304.0,64064472.0,6089652.0,345079754.0,297085956.0
0101,"PORTLAND, ME",2021-11,278535560.0,367803140.0,69973418.0,5684227.0,348508978.0,373487367.0
0101,"PORTLAND, ME",2021-12,244173324.0,357996059.0,59909568.0,4602762.0,304082892.0,362598821.0
0101,"PORTLAND, ME",2022-01,289155445.0,345035935.0,68731136.0,4300487.0,357886581.0,349336422.0
0101,"PORTLAND, ME",2022-02,278800559.0,343587537.0,82402678.0,5223017.0,361203237.0,348810554.0
0101,"PORTLAND, ME",2022-03,374113173.0,366435752.0,113612586.0,7715547.0,487725759.0,374151299.0
0101,"PORTLAND, ME",2022-04,274712549.0,267045826.0,149249775.0,7343173.0,423962324.0,274388999.0
0101,"PORTLAND, ME",2022-05,335810838.0,270736413.0,71310163.0,5005236.0,407121001.0,275741649.0
0101,"PORTLAND, ME",2022-06,343654804.0,240404459.0,63031439.0,6970138.0,406686243.0,247374597.0
0101,"PORTLAND, ME",2022-07,332647742.0,323546223.0,119270139.0,4978406.0,451917881.0,328524629.0
0101,"PORTLAND, ME",2022-08,426631774.0,384194255.0,77943955.0,7551907.0,504575729.0,391746162.0
0101,"PORTLAND, ME",2022-09,271754599.0,247030497.0,70667007.0,9399911.0,342421606.0,256430408.0
0101,"PORTLAND, ME",2022-10,272679821.0,223858587.0,52043771.0,6762913.0,324723592.0,230621500.0
0101,"PORTLAND, ME",2022-11,345906776.0,277686883.0,87535650.0,7338178.0,433442426.0,285025061.0
0101,"PORTLAND, ME",2022-12,302079885.0,260138000.0,77700477.0,5359212.0,379780362.0,265497212.0
0101,"PORTLAND, ME",2023-01,343612231.0,326470419.0,106041021.0,6196023.0,449653252.0,332666442.0
0101,"PORTLAND, ME",2023-02,237961604.0,260024278.0,124422543.0,6040393.0,362384147.0,266064671.0
0101,"PORTLAND, ME",2023-03,345410638.0,399275148.0,116213591.0,6864978.0,461624229.0,406140126.0
0101,"PORTLAND, ME",2023-04,249976842.0,255372392.0,119277294.0,6842412.0,369254136.0,262214804.0
0101,"PORTLAND, ME",2023-05,266124060.0,262605600.0,145558890.0,6085478.0,411682950.0,268691078.0
0101,"PORTLAND, ME",2023-06,258111800.0,287615083.0,105531315.0,6959086.0,363643115.0,294574169.0
0101,"PORTLAND, ME",2023-07,283097595.0,288115806.0,60853304.0,4416959.0,343950899.0,292532765.0
0101,"PORTLAND, ME",2023-08,319263964.0,282138148.0,84668349.0,7698023.0,403932313.0,289836171.0
0101,"PORTLAND, ME",2023-09,238678933.0,200636779.0,49954728.0,5359751.0,288633661.0,205996530.0
0101,"PORTLAND, ME",2023-10,206824641.0,268991221.0,72524424.0,4867245.0,279349065.0,273858466.0
0101,"PORTLAND, ME",2023-11,285144544.0,276127790.0,71673816.0,4908133.0,356818360.0,281035923.0
0101,"PORTLAND, ME",2023-12,302902741.0,348445367.0,69529681.0,4297853.0,372432422.0,352743220.0
0101,"PORTLAND, ME",2024-01,277984542.0,359990804.0,79156969.0,4874682.0,357141511.0,364865486.0
0101,"PORTLAND, ME",2024-02,219941159.0,283949882.0,80588449.0,4081055.0,300529608.0,288030937.0
0101,"PORTLAND, ME",2024-03,268002360.0,287223508.0,119196516.0,6787713.0,387198876.0,294011221.0
0101,"PORTLAND, ME",2024-04,259337870.0,266265692.0,86328325.0,6079064.0,345666195.0,272344756.0
0101,"PORTLAND, ME",2024-05,293751843.0,286404880.0,81520768.0,6632204.0,375272611.0,293037084.0
0101,"PORTLAND, ME",2024-06,226365988.0,293113261.0,85903245.0,5706452.0,312269233.0,298819713.0
0101,"PORTLAND, ME",2024-07,319786634.0,357643483.0,97950378.0,5941600.0,417737012.0,363585083.0
0101,"PORTLAND, ME",2024-08,232602653.0,273377583.0,72322510.0,5860447.0,304925163.0,279238030.0
0101,"PORTLAND, ME",2024-09,241610262.0,306103786.0,97538187.0,6503132.0,339148449.0,312606918.0
0101,"PORTLAND, ME",2024-10,306189237.0,330132695.0,91688100.0,6295069.0,397877337.0,336427764.0
0101,"PORTLAND, ME",2024-11,241205032.0,258960262.0,61508195.0,5321536.0,302713227.0,264281798.0
0101,"PORTLAND, ME",2024-12,240429487.0,252665989.0,61947326.0,5918101.0,302376813.0,258584090.0
0102,"BANGOR, ME",2016-01,34512.0,9609.0,268774.0,42619.0,303286.0,52228.0
0102,"BANGOR, ME",2016-02,0.0,0.0,0.0,0.0,0.0,0.0
0102,"BANGOR, ME",2016-03,0.0,0.0,0.0,0.0,0.0,0.0
0102,"BANGOR, ME",2016-04,0.0,0.0,0.0,0.0,0.0,0.0
0102,"BANGOR, ME",2016-05,0.0,0.0,60041.0,9111.0,60041.0,9111.0
0102,"BANGOR, ME",2016-06,0.0,0.0,0.0,0.0,0.0,0.0
0102,"BANGOR, ME",2016-07,0.0,0.0,3575.0,507.0,3575.0,507.0
0102,"BANGOR, ME",2016-08,0.0,0.0,0.0,0.0,0.0,0.0
0102,"BANGOR, ME",2016-09,318744.0,22000.0,0.0,0.0,318744.0,22000.0
0102,"BANGOR, ME",2016-10,710500.0,36000.0,25000.0,19500.0,735500.0,55500.0
0102,"BANGOR, ME",2016-11,275000.0,2859.0,0.0,0.0,275000.0,2859.0
0102,"BANGOR, ME",2016-12,0.0,0.0,462000.0,470800.0,462000.0,470800.0
0102,"BANGOR, ME",2017-01,0.0,0.0,0.0,0.0,0.0,0.0
0102,"BANGOR, ME",2017-02,0.0,0.0,0.0,0.0,0.0,0.0
0102,"BANGOR, ME",2017-03,0.0,0.0,579942.0,23056.0,579942.0,23056.0
0102,"BANGOR, ME",2017-04,0.0,0.0,0.0,0.0,0.0,0.0
0102,"BANGOR, ME",2017-05,0.0,0.0,0.0,0.0,0.0,0.0
